id,name,gender,age,traits,status,interest,feature
0,Mary Smith,female,22,,Year 1 Master's Student,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.', 'Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
1,James Davis,male,27,,Year 2 PhD Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.']"
2,Sarah Miller,male,21,,Year 4 Undergraduate,,"['Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
3,James Davis,female,18,,Year 1 Undergraduate,,"['Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
4,Michael Garcia,male,21,,Year 4 Undergraduate,,"['Studious,Constantly engrossed in books and academic work, often found in the library.']"
5,Michael Brown,male,23,,Year 2 Master's Student,,"['Gifted Individual,Naturally talented in one or more areas, often achieving high levels of success with minimal effort.', 'Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.']"
6,James Taylor,male,18,,Year 1 Undergraduate,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.', 'Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
7,Linda Taylor,male,23,,Year 2 Master's Student,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.', 'Social Butterfly,Always on the move, attending various social events, with a large group of friends.']"
8,Jane Martinez,female,23,,Year 3 Master's Student,,"['Perfectionist,Demanding the best, can be tough on themselves and others when expectations are not met.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
9,Sarah Miller,female,19,,Year 3 Undergraduate,,"['Casual Student,Easygoing, not easily stressed by exams or assignments, takes things as they come.']"
10,John Garcia,male,19,,Year 3 Undergraduate,,"['Competitive Spirit,Always striving for the top, may sometimes be perceived as aggressive towards peers.', 'Procrastinator,Often delays tasks until the last minute, struggles with meeting deadlines.']"
11,Michael Miller,male,21,,Year 3 Undergraduate,,"['Independent Learner,Preferring to work alone, not interested in group projects, focused on personal growth.', 'Studious,Constantly engrossed in books and academic work, often found in the library.']"
