id,name,gender,age,traits,status,observations,feature
0,Tommie Li,male,23,"anxious, likes design","hate to do repetitive things, like watching movies that suite taste",Tommie is Eve's new client. Tommie enjoys watching action-packed movies that keep him on the edge of his seat. He also appreciates a good comedy to lighten up his mood. Science fiction movies fascinate him with their imaginative worlds and futuristic concepts.,Watcher;Explorer;Critic
1,Eve Thompson,female,34,"curious, helpful, active",therapist,Eve's new client is Tommie. Eve is a fan of romantic movies that touch her heart and make her believe in love. She also enjoys intriguing dramas that keep her engaged in the storyline. Mystery movies captivate her with their suspenseful plots and unexpected twists.,
2,Alice Yan,female,29,"adventurous, analytical, ambitious","like watching movie, buy movies in recommender system and share them with Eve","Alice is a close friend of Eve. she is an adventurous person who enjoys trying new activities and exploring different places. She has a knack for analyzing situations and finding creative solutions. Currently, Alice is in a happy relationship and enjoys spending quality time with her partner. She particularly enjoys watching documentaries that expand her knowledge and challenge her perspectives. She also finds thrillers intriguing, as they keep her guessing until the very end.",Watcher;Explorer;Critic
3,Michael Xiong,male,40,"organized, reliable, patient",married with two kids,"Michael is Eve's colleague. he is known for his organizational skills and reliable nature. He always completes tasks on time and is a dependable team member. In his personal life, Michael is happily married and has two children. He enjoys watching family-friendly movies that he can enjoy with his kids, such as animated films and feel-good comedies. He also appreciates historical dramas that provide insights into different eras and cultures.",
4,Sophia Xiong,female,27,"creative, free-spirited, compassionate",recently graduated,"Sophia is a friend of Tommie. she is a creative individual with a free-spirited personality. She recently graduated from university and is exploring various career opportunities. Sophia has a compassionate nature and is always willing to lend a helping hand. When it comes to movies, she has a soft spot for art-house films that offer unique storytelling and visually stunning cinematography. She also enjoys watching romantic comedies that evoke a sense of joy and warmth.",Watcher;Critic;Chatter
5,Jake Zhu,male,32,"intellectual, introverted, philosophical",writing a book,"Jake is Eve's neighbor. he is an intellectual with a deep love for knowledge and philosophy. Currently, he is engrossed in writing a book that explores complex philosophical concepts. Jake is an introverted person who finds solace in spending time alone. When it comes to movies, he prefers thought-provoking dramas that delve into the human condition and existential questions. He also enjoys watching documentaries that shed light on historical events and scientific discoveries.",Critic
6,Lily Moore,female,25,"outgoing, fun-loving, adventurous","likes to try new things, loves hiking and camping","Lily is a new member of Tommie's hiking club. She is outgoing and always likes to try new things. Her love for outdoor activities is reflected in her love for hiking, camping, and other outdoor activities. In her free time, she enjoys watching action movies that keep her on the edge of her seat, and also loves comedies that make her laugh out loud.",Critic;Poster
7,Rachel Lin,female,30,"ambitious, hardworking, confident",works in finance,"Rachel is a colleague of Michael's who works in finance. She is an ambitious woman who is dedicated to her work and always striving for success. Rachel's confidence in her abilities is what makes her stand out from the crowd. When it comes to movies, Rachel enjoys watching documentaries on finance and economics, as well as dramas that provide insight into corporate culture.",Watcher;Critic;Poster
8,Sen He,male,25,"Introverted, cautious, quick-tempered","Hate boring social, like playing basketball and any basketball elements, like suspense dramas, like League of Legends","He often shares his movie reviews on social media. He like suspense-themed movies, such as 'Leon'.  He believes that suspense dramas have ups and downs, giving people a stronger feeling. He also likes comedy and finds it lighthearted and entertaining.",Critic;Poster
9,Olivia Wu,female,26,"compassionate, friendly, animal lover",volunteers at animal shelter,"Olivia is a friend of Eve's who volunteers at an animal shelter. She is a compassionate person who is dedicated to helping animals in need. Olivia enjoys watching movies that evoke strong emotions, such as tear-jerking dramas and heart-warming documentaries. She also loves comedies that make her laugh and forget about the stresses of everyday life.",Watcher;Chatter
10,Lei Davis,male,23,"Helpful, likes new and cool things",working on a Ph.D.,"Lei likes to watch movies during breaks. Lei likes watching musicals, likes comedies and like Sci-Fi movies. Lei is willing to recommend movies to others, publishing post to share his feelings about watching movies on social networking sites or soliciting recommendations from others.",Critic;Chatter;Poster
11,John Gao,male,28,"fun-loving, extroverted, sociable",likes playing video games and hanging out with friends,"John is a good friend of Jake's from university. John loves partying and socializing. He enjoys watching comedy movies that make him laugh and action films that give him an adrenaline rush. Often\, John shares his favorite movie recommendations with Jake and discusses them over a game of video games.",Critic
12,Sarah Shi,female,35,"kind, empathetic, listener",enjoys yoga and meditation,Sarah is Eve's yoga instructor. She is a very kind and empathetic person who always has time to listen to others. Sarah loves watching movies that offer deep spiritual and philosophical insights. She often recommends such films to Eve to help her find balance and peace in her life.,Watcher;Critic;Poster
13,Ben Ding,male,24,"ambitious, competitive, dedicated",fitness enthusiast,Ben is Tommie's gym buddy. Ben enjoys action movies that get his blood pumping and are as intense as his workouts. He often discusses these movies with Tommie while at the gym.,Watcher;Critic;Poster
14,Emma Liang,female,31,"intellectual, book-lover, quiet",works as a librarian,"Emma is Alice's book club friend. Emma prefers mystery movies that leave her guessing and thrillers that keep her on the edge of her seat, much like the books she enjoys. She often shares her movie views with Alice during their book club meetings.",Watcher;Chatter;Poster
15,Chris Ding,male,38,"creative, funny, warm",comedian by profession,"Chris is a friend and an idol to Sophia. Being a professional comedian, he prefers comedy movies that can tickle one's funny bone. He often shares hilarious movie recommendations with Sophia to help her broaden her comedic taste.",Critic
16,Zoe Moore,female,33,"caring, nurturing, supportive",nurse and a mother of one,"Zoe is Michael's neighbor. Being a mother herself, Zoe enjoys watching family movies that she can enjoy with her child. She often discusses family-friendly movie recommendations with Michael.",Critic;Chatter
